Name,Class,Build,isFeature,Level,Type,UsageLimit,UsageNumber,Keywords,Action,Trigger,Range,Target,AttackRoll,EffectPre,Hit,Miss,EffectPost,Misc,SecondaryAttack,Upgrades,Summary
Power Attack,Universal,Universal,NA,1,Attack,Encounter,NA,Weapon,"Personal Reaction, Interrupt ",you hit with a Weapon attack,NA,targets an enemy hit by the triggering attack,NA,-,NA,NA,"Against the target, the triggering attack deals an extra 1W and gains Push 1.",NA,NA,"Upgrade 13: Increase extra damage to 2W
Upgrade 23: Increase extra damage to 3W",Deal extra damage and push
Empower Spell,Universal,Universal,NA,1,Attack,Encounter,NA,Implement,"Personal Reaction, Interrupt ",you hit with an Implement attack,NA,targets an enemy hit by the triggering attack,NA,NA,NA,NA,"Against the target, the triggering attack deals an extra 1d10 and gains Push 1.",NA,NA,"Upgrade 13: Increase extra damage to 2d10
Upgrade 23: Increase extra damage to 3d10",Deal extra damage and push
Offensive Training,Universal,Universal,NA,1,Attack,Daily,NA,NA,NA,NA,Personal,NA,NA,NA,NA,NA,"Until you recharge or retrain this power, your attacks gain +1 Damage.",NA,NA,"Upgrade 15: Your attacks gain +2 damage and +1 Miss Damage.
Upgrade 25: Your attacks gain +3 damage and +2 Miss Damage.",Small damage bonus all day
Defensive Training,Universal,Universal,NA,1,Attack,Daily,NA,NA,NA,NA,Personal,NA,NA,NA,NA,NA,"Until you recharge or retrain this power, you gain +5 HP.",NA,NA,"Upgrade 15: gain +10 HP instead.
Upgrade 25: gain +15 HP instead.",Small HP bonus all day
Defender Aura,Fighter,Guardian,Feature,1,Utility,NA,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Gain Aura 1: You Mark enemies in the aura. This effect lasts until you dismiss it as a Minor Action, or you become Unconscious.",NA,NA,NA,NA
Shield Bash,Fighter,Guardian,NA,1,Attack,NA,NA,"Weapon, Shield",NA,NA,Melee,NA,Str vs AC,NA,"1W+Str. Push 1, and you may shift that distance to a square adjacent to the target.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Str.,Push and follow up
Cleave,Fighter,Guardian,NA,1,Attack,NA,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,1W+Str. Make a secondary attack.,NA,NA,NA,"Melee, targets another enemy, Str vs AC
Hit: Str.",Level 21: Increase Hit damage to 2W+Str.,Damage an additional enemy
Hamstring,Fighter,Guardian,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,"2W + Str, and Slowed (save ends). Until your next turn, the target has -Con to save while adjacent to you.",NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3W+Str
Upgrade 23: Increase Hit damage to 4W+Str
",Slow and save penalty
Stunning Strike,Fighter,Guardian,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Melee,NA,Str vs For,NA,"Hit: 1W, and Stunned until your next turn.",NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 2W
Upgrade 23: Increase Hit damage to 3W",Low damage and stun
Storm of blades,Fighter,Guardian,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Close Burst 1,NA,Str vs AC,NA,"Hit: 1W, and Slide 1.",NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 2W
Upgrade 23: Increase Hit damage to 3W",Low damage and slide burst
Brutal Strike,Fighter,Guardian,NA,1,Attack,Daily,NA,"Weapon, Reliable",NA,NA,Melee,NA,Str vs AC,NA,"3W+Str, and Push Con and Prone.",NA,NA,NA,NA,"Upgrade 15: Increase Hit damage to 5W+Str
Upgrade 25: Increase Hit damage to 7W+Str
","High damage, push, prone"
