Class,Light Armor Bonus,Expected Arm,Role,Armor Type,Notes
Cleric,0,13,Leader,Heavy,NA
Fighter,0,16,Defender,Heavy,NA
Paladin,0,17,Defender,Heavy,NA
Ranger,0,12,Striker,Light,NA
Rogue,1,13,Striker,Light,NA
Warlock,0,12,Striker,Light,Can gain Concealment from feature
Warlord,0,13,Leader,Heavy,NA
Wizard,0,11,Controller,Light,NA
Avenger,2,13,Striker,Light,Remove Feature: Armor of Faith
Barbarian,0,12,Striker,Light,"Change Feature: Barbarian Agility to ""+1 Reflex""."
Bard,0,13,Leader,Heavy,NA
Druid,1,13,Controller,Light,NA
Invoker,0,13,Controller,Heavy,NA
Shaman,0,12,Leader,Light,NA
Sorcerer,0,12,Striker,Light,NA
Warden,1,15,Defender,Light,NA
Ardent,0,13,Leader,Heavy,NA
Battlemind,0,16,Defender,Heavy,NA
Monk,2,13,Striker,Light,Remove Feature: Unarmored Defense
Psion,0,10,Controller,Light,NA
Runepriest,0,15,Leader,Heavy,NA
Seeker,0,11,Controller,Light,NA
Swordmage,1,16,Defender,Light,Includes +3 bonus from Aegis feature
Bladesinger,0,13,Striker,Light,NA
Assassin,1,13,Striker,Light,NA
Assassin - Executioner,2,14,Striker,Light,NA
Paladin - Blackguard,0,17,Striker,Heavy,NA
Vampire,1,12,Striker,Light,Remove Feature: Vampiric Reflexes
Warlock - Binder,0,11,Controller,Light,Can gain Concealment from feature
Cleric- Warpriest,0,13,Leader,Heavy,NA
Fighter-Knight,0,17,Defender,Heavy,NA
Fighter-Slayer,1,14,Striker,Heavy,NA
Rogue-Thief,1,13,Striker,Light,NA
Druid-Sentinel,0,13,Leader,Heavy,NA
Paladin - Cavalier,0,17,Defender,Heavy,NA
Ranger - Hunter,0,12,Controller,Light,NA
Ranger - Scout,0,13,Striker,Light,NA
Warlock - Hexblade,0,13,Striker,Heavy,NA
