feature_id,Name,Description
ftr_weapn_mas,Weapon Mastery, +1 Hit with weapon attacks
ftr_guard_aur,Guardian's Aura,"You gain the Defender Aura power.
Enemies Taunted by you trigger Opportunity Attacks from you when Shifting or ignoring your Taunt."
ftr_guard_shi,Guardian's Shield,"When an ally in your Defender Aura is damaged by an attack, or an ally is damaged by an attack made by an enemy in your Defender Aura, reduce the damage by your CON."
ftr_armor_spc,Heavy Armor Specialist,Reduce your Skill Armor Penalty by your CON.
ftr_watch_chl,Watchman's Challenge,"When you target an enemy with an attack, that enemy is Taunted until end of your next turn.
Enemies Taunted by you trigger Opportunity Attacks from you when Shifting or ignoring your Taunt."
ftr_watch_eye,Watchman's Eye,"Add your Wisdom to your Reaction Modifier.
Add your Wisdom to the Crit Range of your Reaction attacks."
ftr_watch_vig,Watchman's Vigilance, +Wis to your Perception and Authority Skills.
ftr_sell_rth,Sellsword's Ruthlessness,Add your Intelligence to the damage of your Melee and Close attacks.
ftr_sell_val,Sellsword's Valor,"When you attack an enemy,that enemy subtracts double your Intelligence to the damage of their Reaction attacks that turn."
ftr_sell_bar,Sellsword's Bargaining, +Intelligence to your Authority and Bluff Skills.
wiz_contr_pow,Controller Power,"Gain an additional Wizard Daily Attack power, of a level equal to the level of your lowest Wizard Daily Attack power slot.
You can use an additional Daily Attack power per encounter (but no more than one per turn). +1 to Recharge rolls for your Wizard daily powers."
wiz_elem_rng,Elemental Range,"Gain +Dex to the range of your Ranged and Area attacks, and to the size of your Line attacks."
wiz_flex,Wizard Flexibility,Gain an additional At-Will attack power.
wiz_rit,Master Ritualist,"Gain Ritual Training or Summon Familiar as a bonus Adventuring Feat.
You learn an additional Heroic Ritual from each Ritual Training feat.
You learn an additional Paragon Ritual from each Paragon Ritual Training feat.
You learn an additional Epic Ritual from each Epic ritual Training feat."
wiz_abjur_shi,Abjurer`s Shield,"Add double your CON to your Hit Points.
Add your CON to your Reflex"
wiz_summ_mas,Master Summoner,"You treat Body Cover granted to you by your summons and allies as Superior Cover.
Add triple your Charisma to the HP of your Summons."
rog_sneak,Sneak Attack,"When attacking with Advantage with an Rogue Weapon, deal +1d4 damage per W. (Weapon damage modifiers apply to this damage)"
rog_scoun_wpn,Scoundrel's Weapon,"You treat the following weapons as Rogue Weapons: Light Blades, Crossbows, Slings.
You deal +CHA damage with Rogue Weapons.
When you have Advantage, +1 Hit with Dagger attacks."
rog_scoun_amb,Scoundrel's Ambush,"Gain +CHA Initiative.
Gain Advantage when attacking enemies that have not yet acted in the current encounter.
Gain Advantage against Slowed, Immobilized or Grabbed enemies."
rog_scon_eva,Evasive Scoundrel,Add CHA to all defenses against Opportunity Attacks and Partial Resist against Opportunity Attacks.
rog_thug_wpn,Thug's Weapon,"You treat the following weapons as Light Weapons: Light Blades, Mace, Light Hammer.
+1 Hit with Weapon attacks with Off-Hand weapons and Maces."
rog_thug_mth,Meathead,Add double your Strength to your HP.
rog_thug_wck,Whack in the Head,"When you hit an enemy with a melee attack, that enemy is Dazzled until the end of your next turn.
When attacking Dazzled enemies, you can use Sneak Attack as if you attacked with Advantage, and you gain +Strength Crit Range."
rog_duel_wpn,Duelist's Weapon,You treat Light Blades as Light Weapons.
rog_duel_cun,Duelist's Cunning,"Add your Intelligence to your Reaction Modifier.
While wielding two weapons, you gain a +Intelligence bonus to AC against melee attacks."
rog_duel_duel,Duel,"Gain the Duel power (Minor Action, 1/encounter, Taunt adjacent enemy until end of encounter).
When attacking enemies Taunted by you, you can use Sneak Attack as if you attacked with Advantage"
rog_swash_wpn,Swashbuckler's Weapon,"You treat the following weapons as Light Weapons: Light Blades, Hand Crossbow."
rog_swash_stp,Swashbuckler's Step,"When you Shift, you can have that movement count as Climbing or as a Long Jump.
When you use the Shift Maneuver, you Shift your Charisma (instead of Shift 1)."
rog_swash_grn,High Ground,"When you use the Drop Maneuver, you reduce the falling distance by your Charisma (instead of by 1). If you fall adjacent to an enemy, you gain Advantage against that enemy this turn.
Gain Advantage on melee attacks against enemies on squares at a lower height than your space."
pri_heal,Healing Word,Gain the Healing Word power.
pri_light_fhl,Faith Healing,"When you use a Healing power, add CHA to the Surge Value of any character spending a Surge.
When you heal a character to full health, that character gains CHA Shield Points."
pri_shi,Shield of the Gods,Attacks without Advantage made against you or any ally within 3 squares gain -1 Crit Range.
pri_rit,Ritual Training,You gain Ritual Training as a bonus lesser feat.
pri_luck_bls,Fortune's Blessing,"At the start of each of your turns, randomly choose an ally that has not benefited from Fortune's Blessing on your previous turn. That ally gains +1 to Hit, Save, and all defenses until your next turn."
bar_rstrike,Rage Strike,You gain the Rage Strike power.
bar_rager_svg,Savage Attack,Your attacks deal +Constitution damage.
bar_rager_res,Raging Resilience,You add your Constitution to your Surge Value.
bar_rager_chr,Barbarian Charge,"You do not become Hindered due to charging.
When you charge an enemy within 4 or more squares, you gain Advantage, and you can use a Barbarian melee attack instead of a melee Basic attack."
bar_rager_skl,Savage Skill,You add your Constitution to your Intimidate skill and your Nature skill.
wld_heal,Inspiring Word,Gain the Inspiring Word power.
wld_tac_adv,Tactical Advice,Allies that can see or hear you gain+Int Initiative.
wld_tac_act,Tactical Action,Allies that can see or hear you gain +Int hit with Action Point attacks.
wld_tac_skl,Tactical Skill,TODO: Skill related assist feature.
wlk_contr,Controller Option,Controller Power,"Gain an additional Warlock Daily Attack power, of a level equal to the level of your lowest Warlock Daily Attack power slot.
You can use an additional Daily Attack power per encounter (but no more than one per turn). +1 to Recharge rolls for your Warlock daily powers."
wlk_shadow_crs,Shadow Curse,"Once per turn, when you target an enemy with an attack, the enemy is afflicted with your Shadow Curse until the end of the encounter. Enemies under the Shadow Curse treat you as having Concealment or, if you already have Concealment, as having Total Concealment."
wlk_shadow_pct,Shadow Pact,"Once per round, when an enemy under your Shadow Curse is reduced to 0 HP, the enemy's space becomes a zone of Difficult Terrain for your enemies until the end of the encounter. Enemies ending their turns in the zone or adjacent to it take Dex necrotic damage."
