feature_id,Name,Description
ftr_weapn_mas,Weapon Mastery, +1 Hit with weapon attacks
ftr_train,Fighter Training,"Reduce by 1 the DC of the following Skill Checks:
-  Social checks (Authority, Diplomacy) and knowledge checks related to weapons, armor and fighting styles (Perception, Lore)
- Keep watch (Perception, Endurance)"
ftr_guard_aur,Guardian's Aura,"You gain the Defender Aura power.<br>Enemies Taunted by you trigger Opportunity Attacks from you when ignoring your Taunt or shifting out of your Defender Aura.<br/>Enemies hit by your Opportunity Attacks are Taunted until end of turn."
ftr_guard_shi,Guardian's Shield,"When an ally in your Defender Aura is damaged by an attack, or an ally is damaged by an attack made by an enemy in your Defender Aura, reduce the damage by your CON."
ftr_armor_spc,Heavy Armor Specialist,Ignore your Skill Armor Penalty.
ftr_watch_chl,Watchman's Challenge,"When you target an enemy with an attack, that enemy is Taunted until end of your next turn.<br>Enemies Taunted by you trigger Opportunity Attacks from you when Shifting or ignoring your Taunt."
ftr_watch_eye,Watchman's Eye,"Add your Wisdom to your Reaction Modifier.<br>Add your Wisdom to the Crit Range of your Reaction attacks."
ftr_watch_vig,Watchman's Vigilance, +Wis to your Perception and Authority Skills.
ftr_sell_rth,Sellsword's Ruthlessness,Add your Intelligence to the damage of your Melee and Close attacks.
ftr_sell_val,Sellsword's Valor,"When you attack an enemy,that enemy subtracts double your Intelligence to the damage of their Reaction attacks that turn."
ftr_sell_bar,Sellsword's Bargaining, +Intelligence to your Authority and Bluff Skills.
wiz_contr_pow,Controller Power,"Gain an additional Wizard Daily Attack power, of a level equal to the level of your lowest Wizard Daily Attack power slot.<br>You can use an additional Daily Attack power per encounter (but no more than one per turn). +1 to Recharge rolls for your Wizard daily powers."
wiz_train,Wizard Training,"Wizard Training: Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy, Trickery) and knowledge checks (Arcana, Lore) related to Arcane magic.
- Study and gather information from books (Concentration)"
wiz_elem_rng,Elemental Range,"Gain +Dex to the range of your Ranged and Area attacks, and to the size of your Line attacks."
wiz_flex,Wizard Flexibility,Gain an additional At-Will attack power.
wiz_rit,Master Ritualist,"Gain Ritual Training or Summon Familiar as a bonus Adventure Feat.<br>You learn an additional Heroic Ritual from each Ritual Training feat.<br>You learn an additional Paragon Ritual from each Paragon Ritual Training feat.<br>You learn an additional Epic Ritual from each Epic ritual Training feat."
wiz_abjur_shi,Abjurer`s Shield,"Add double your CON to your Hit Points.<br>Add your CON to your Reflex"
wiz_summ_mas,Master Summoner,"You treat Body Cover granted to you by your summons and allies as Superior Cover.<br>Add triple your Charisma to the HP of your Summons."
rog_sneak,Sneak Attack,"When attacking with Advantage with an Rogue Weapon, deal +1d4 damage per W. (Weapon damage modifiers apply to this damage)"
rog_train,Rogue Training,"Rogue Training: Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy, Trickery) and knowledge checks (Perception, Lore) related to crime.
- Pick locks (Finesse), pick pockets (Trickery)
- Find traps (Perception) and disable traps (Concentration)"
rog_scoun_wpn,Scoundrel's Weapon,"You treat the following weapons as Rogue Weapons: Off-Hand Weapons, Short Bows.<br>You deal +Cha damage with Rogue Weapons.<br>+1 Hit with Dagger attacks."
rog_scoun_amb,Scoundrel's Ambush,"Gain +Cha Initiative.<br>Gain Advantage when attacking enemies that have not yet acted in the current encounter.<br>Gain Advantage against Slowed, Immobilized or Grabbed enemies."
rog_thug_wpn,Thug's Weapon,"You treat the following weapons as Light Weapons: Light Blades, Mace, Light Hammer.<br>+1 Hit with Weapon attacks with Off-Hand weapons and Maces."
rog_thug_mth,Meathead,Add double your Strength to your HP.
rog_thug_wck,Whack in the Head,"When you hit an enemy with a melee attack, that enemy is Dazzled until the end of your next turn.<br>When attacking Dazzled enemies, you can use Sneak Attack as if you attacked with Advantage, and you gain +Strength Crit Range."
rog_duel_wpn,Duelist's Weapon,You treat Light Blades as Light Weapons.
