Level,Summary,Features,Encounter Attacks,Daily Attacks,Utilities,Combat Feat,Adventure Feat,Ability Damage Modifier,Damage Die Increase,Damage Die Multiplier,HP-Low,HP-Medium,HP-High
1,"Choose Race
Gain Race Features
Gain Race Power
Choose Class
Gain Class Features
Gain 2 Level 1 At-Will Attacks
Gain Level 1 Encounter Attack
Gain Level 1 Daily Attack
Gain Level 1 Combat Feat",Class Features,1,1,NA,1,NA,x1,Normal die,x1,22,27,33
2,"Gain Level 2 Utility
Gain Level 2 Adventure Feat",NA,1,1,2,1,2,NA,Normal die,x1,24,30,36
3,"Gain Level 3 Encounter Attack
Upgrade Ability Damage Modifier: x1 to x1.5",NA,"1, 3",1,2,1,2,x1.5,Normal die,x1,26,32,39
4,Gain Level 4 Combat Feat,NA,"1, 3",1,2,"1, 4",2,NA,Normal die,x1,28,35,42
5,Gain Level 5 Daily Attack,NA,"1, 3","1, 5",2,"1, 4",2,NA,Normal die,x1,30,37,45
6,"Gain Level 6 Utility
Gain Level 6 Adventure Feat
Upgrade Damage die: Increased die",NA,"1, 3","1, 5","2, 6","1, 4","2, 6",NA,Increased die,x1,32,40,48
7,Gain Level 7 Encounter Attack,NA,"1, 3, 7","1, 5","2, 6","1, 4","2, 6",NA,Increased die,x1,34,42,51
8,Gain Level 8 Combat Feat,NA,"1, 3, 7","1, 5","2, 6","1, 4, 8","2, 6",NA,Increased die,x1,36,45,54
9,"Gain Level 9 Daily Attack
Upgrade Ability Damage Modifier: x1.5 to x2",NA,"1, 3, 7","1, 5, 9","2, 6","1, 4, 8","2, 6",x2,Increased die,x1,38,47,57
10,"Gain Level 10 Utility
Gain Level 10 Adventure Feat",NA,"1, 3, 7","1, 5, 9","2, 6, 10","1, 4, 8","2, 6, 10",NA,Increased die,x1,40,50,60
11,"Choose Paragon Path
Gain Paragon Path Level 11 Features
Gain Paragon Path Level 11 Encounter Attack
Gain Level 11 Combat Feat
Upgrade Ability Damage Modifier: x2 to x2.5",Paragon Path Features 11,"1, 3, 7, pp11","1, 5, 9","2, 6, 10","1, 4, 8, 11","2, 6, 10",x2.5,Increased die,x1,44,55,66
