Class;Light Armor Bonus;Expected AC;Role;Armor Type;Notes
Cleric;0;13;Leader;Heavy;
Fighter;0;16;Defender;Heavy;
Paladin;0;17;Defender;Heavy;
Ranger;0;12;Striker;Light;
Rogue;1;13;Striker;Light;
Warlock;0;12;Striker;Light;Can gain Concealment from feature
Warlord;0;13;Leader;Heavy;
Wizard;0;11;Controller;Light;
Avenger;2;13;Striker;Light;Remove Feature: Armor of Faith
Barbarian;0;12;Striker;Light;"Change Feature: Barbarian Agility to ""+1 Reflex""."
Bard;0;13;Leader;Heavy;
Druid;1;13;Controller;Light;
Invoker;0;13;Controller;Heavy;
Shaman;0;12;Leader;Light;
Sorcerer;0;12;Striker;Light;
Warden;1;15;Defender;Light;
Ardent;0;13;Leader;Heavy;
Battlemind;0;16;Defender;Heavy;
Monk;2;13;Striker;Light;Remove Feature: Unarmored Defense
Psion;0;10;Controller;Light;
Runepriest;0;15;Leader;Heavy;
Seeker;0;11;Controller;Light;
Swordmage;1;16;Defender;Light;Includes +3 bonus from Aegis feature
Bladesinger;0;13;Striker;Light;
Assassin;1;13;Striker;Light;
Assassin - Executioner;2;14;Striker;Light;
Paladin - Blackguard;0;17;Striker;Heavy;
Vampire;1;12;Striker;Light;Remove Feature: Vampiric Reflexes
Warlock - Binder;0;11;Controller;Light;Can gain Concealment from feature
Cleric- Warpriest;0;13;Leader;Heavy;
Fighter-Knight;0;17;Defender;Heavy;
Fighter-Slayer;1;14;Striker;Heavy;
Rogue-Thief;1;13;Striker;Light;
Druid-Sentinel;0;13;Leader;Heavy;
Paladin - Cavalier;0;17;Defender;Heavy;
Ranger - Hunter;0;12;Controller;Light;
Ranger - Scout;0;13;Striker;Light;
Warlock - Hexblade;0;13;Striker;Heavy;
