Class;Build;Name;Description
Fighter;Guardian;Weapon Mastery;You gain +1 Hit with weapon attacks
Fighter;Guardian;Guardian's Aura;"You gain the Defender's Aura power.
Enemies Marked by you trigger Opportunity Attacks from you when Shifting or violating a Mark."
Fighter;Guardian;Guardian's Shield;Attacks by enemies in your Defender Aura or targeting allies in your Defender Aura gain -Constitution to hit.
Fighter;Guardian;Heavy Armor Specialist;You subtract your Constitution from your total Armor Penalty to Skills.
Fighter;Watchman;Weapon Mastery;You gain +1 Hit with weapon attacks
Fighter;Watchman;Watchman's Challenge;"When you target an enemy with an attack, that enemy is Marked until end of your next turn.
Enemies Marked by you trigger Opportunity Attacks from you when Shifting or violating a Mark."
Fighter;Watchman;Watchman's Eye;"Add your Wisdom to your Reaction Modifier. 
Add your Wisdom to the Crit Range of your Reaction attacks."
Fighter;Watchman;Watchman's Vigilance;Add your Wisdom to your Perception, Insight and Streetwise Skills.
Fighter;Sellsword;Weapon Mastery;You gain +1 Hit with weapon attacks
Fighter;Sellsword;Sellsword's Ruthlessness;Add your Intelligence to the damage of your Melee and Close attacks.
Fighter;Sellsword;Sellsword's Valor;When you attack an enemy,that enemy subtracts double your Intelligence to the damage of their Reaction attacks that turn.
Fighter;Sellsword;Sellsword's Training;Add your Intelligence to your Athletics, Intimidate and Insight Skills.
Wizard;Elementalist;Controller Feat;Gain a bonus Feat from the Controller Feat category
Wizard;Elementalist;Evoker's Barrage;"Add your Dexterity to your Miss Damage.
Add your Dexterity to the range of your Ranged and Area attacks, and to the size of your Line attacks."
Wizard;Elementalist;Wizard Flexibility;Gain an additional At-Will attack power.
Wizard;Elementalist;Master Ritualist;"Gain Ritual Training as a bonus lesser feat.
You learn an additional Heroic Ritual from each Ritual Training lesser feat.
You learn an additional Paragon Ritual from each Paragon Ritual Training lesser feat.
You learn an additional Epic Ritual from each Epic ritual Training lesser feat."
Wizard;Abjurer;Controller Feat;"Gain a bonus Feat from the Controller Feat category."
Wizard;Abjurer;Abjurer`s Shield;"Add double your Constitution to your Hit Points.
Add your Constitution to your Reflex"
Wizard;Abjurer;Wizard Flexibility;Gain an additional At-Will attack power.
Wizard;Abjurer;Master Ritualist;"Gain Ritual Training as a bonus lesser feat.
You learn an additional Heroic Ritual from each Ritual Training lesser feat.
You learn an additional Paragon Ritual from each Paragon Ritual Training lesser feat.
You learn an additional Epic Ritual from each Epic ritual Training lesser feat."
Wizard;Summoner;Controller Feat;"Gain a bonus Feat from the Controller Feat category."
Wizard;Summoner;Master Summoner;"You treat Body Cover granted to you by your summons and allies as Superior Cover.
Add triple your Charisma to the HP of your Summons."
Wizard;Summoner;Wizard Flexibility;Gain an additional At-Will attack power.
Wizard;Summoner;Master Ritualist;"Gain Ritual Training as a bonus lesser feat.
You learn an additional Heroic Ritual from each Ritual Training lesser feat.
You learn an additional Paragon Ritual from each Paragon Ritual Training lesser feat.
You learn an additional Epic Ritual from each Epic ritual Training lesser feat."
Rogue;Scoundrel;Scoundrel's Weapon;"You treat the following weapons as Light Weapons: Light Blades, Crossbows, Slings. 
+1 Hit with Off-hand weapons and Slings."
Rogue;Scoundrel;Sneak Attack;"While wielding a Light Weapon, when you hit on an attack with Advantage you deal +2d6 damage. If the attack has multiple targets or multiple attack rolls, this extra damage is halved.
Increase the extra damage to +3d6 at level 11, and to +5d6 at level 21."
Rogue;Scoundrel;Summoner;"Add 2d6 damage to attacks with advantage while wielding a Light Weapon. This extra damage is halved on attacks with multiple targets or multiple attack rolls.
Increase the extra damage to +3d6 at level 11, and to +5d6 at level 21."
Rogue;Scoundrel;Scoundrel's Ambush;"You add your Charisma to your Initiative.
On the first round of combat, gain Advantage against enemies that have not acted yet."
Rogue;Scoundrel;Scoundrel Move;Add double your Charisma to all defenses against Opportunity Attacks.
Rogue;Swashbuckler;Swashbuckler's Weapon;"You treat the following weapons as Light Weapons: Light Blades, Crossbows, Slings. 
+1 Hit with Off-hand weapons and Slings."
Rogue;Swashbuckler;Sneak Attack;"While wielding a Light Weapon, when you hit on an attack with Advantage you deal +2d6 damage. If the attack has multiple targets or multiple attack rolls, this extra damage is halved.
Increase the extra damage to +3d6 at level 11, and to +5d6 at level 21."
Rogue;Swashbuckler;;
Rogue;Swashbuckler;;
Priest;Light;Healing Word;You gain the Healing Word power.
Priest;Light;Faith Healing;"When you use a Healing power, add your Charisma to the Surge Value of any character spending a Surge.
When you use a character to full health, that character gains Shield Points equal to your Charisma."
Priest;Light;Shield of the Gods;Attacks without Advantage made against you or any ally within 5 squares gain -1 Crit Range.
Priest;Light;Ritual Training;You gain Ritual Training as a bonus lesser feat.
Barbarian;Rager;Rage Strike;You gain the Rage Strike power.
Barbarian;Rager;Savage Attack;Your attacks deal +Constitution damage.
Barbarian;Rager;Raging Resilience;You add your Constitution to your Surge Value.
Barbarian;Rager;Barbarian Charge;When you charge an enemy within 4 or more squares, you gain +2 hit, and you can use a Barbarian melee attack instead of a melee Basic attack.
Barbarian;Rager;Savage Skill;You add your Constitution to your Intimidate skill and your Nature skill.
Warlord;Tactician;;
Warlock;Darkness;;
Bard;Trickster;;
Ranger;Archer;;
Wizard;Summoner;;
Paladin;Protector;;
Monk;Wind;;
Brawler;Tough;;
Ninja;Sneak;;
Universal;Universal;;
